;taisaadress;x;y
206;Tartu maakond, Tartu linn, L. Puusepa tn 2;58.367084751495;26.70228546646
207;Tartu maakond, Tartu linn, Aardla tn 23a;58.3555452747;26.719282500194
208;Tartu maakond, Tartu linn, Pepleri tn 34;58.373467370011;26.720341259832
209;Tartu maakond, Elva linn, Turuplatsi tn 2;58.220568345141;26.409913289698
210;Tartu maakond, Tartu linn, Narva mnt 104;58.390301841453;26.728572753857
211;Tartu maakond, Tartu linn, Kalevi tn 52;58.370966002349;26.733950364413
212;;;
213;Viljandi maakond, Viljandi linn, Tartu tn 42;58.363277331974;25.606689441755
214;;;
215;;;
216;Tartu maakond, Tartu linn, Filosoofi tn 9;58.370140333845;26.719605431006
217;Tartu maakond, Tartu linn, Eha tn 8;58.368731270006;26.723737954788
218;;;
219;;;
220;;;
221;;;
222;;;
223;;;
224;;;
225;Tartu maakond, Tartu linn, Sepa tn 15;58.349923477301;26.722916859296
226;;;
227;Tartu maakond, Tartu linn, Narva mnt 104;58.390301841453;26.728572753857
228;Tartu maakond, Tartu linn, Kitsas tn 5;58.377595059334;26.72314054009
229;Tartu maakond, Tartu linn, Palsami tn 8;58.365758287376;26.684245460174
230;;;
231;;;
232;;;
233;;;
234;;;
235;Tartu maakond, Tartu linn, Riia tn 20;58.37143653125;26.719500274531
236;;;
237;Tartu maakond, Tartu linn, F. R. Kreutzwaldi tn 1;58.387951574074;26.696666226304
238;;;
239;;;
240;;;
241;;;
242;Tartu maakond, Kallaste linn, Turu tn 2;58.658287972065;27.162087787341
243;Tartu maakond, Tartu linn, Eha tn 8;58.368731270006;26.723737954788
244;Tartu maakond, Tartu linn, Tulika tn 1;58.36925787026;26.694704933102
245;Tartu maakond, Tartu linn, Ilmatsalu tn 11;58.378302943357;26.685064805168
246;;;
247;;;
248;;;
249;;;
250;Tartu maakond, Tartu linn, Elva tn 25;58.365633203239;26.706329515261
251;Tartu maakond, Tartu linn, Ihaste tee 12;58.358446641214;26.7607450461
252;Tartu maakond, Tartu linn, K. E. von Baeri tn 4a;58.381962937927;26.714667477208
253;Tartu maakond, Tartu linn, Kalevi tn 52;58.370966002349;26.733950364413
254;;;
